OrderID,Date,Region,Category,Product,UnitsSold,UnitPrice,Revenue,CustomerSegment
ORD-1299,2025-12-16,North West,Accessories,Keyring,3,73.82,221.46,New Customer
ORD-1300,2025-12-17,North West,Custom Grillz,Gold Grillz,1,741.42,741.42,New Customer
ORD-1301,2025-12-17,South East,Custom Grillz,Diamond Grillz,2,832.68,1665.36,New Customer
ORD-1302,2025-12-17,South East,Watches,Dress Watch,2,532.22,1064.44,New Customer
ORD-1303,2025-12-18,Wales,Jewellery,Pendant,2,275.51,551.02,Returning Customer
ORD-1304,2025-12-19,South East,Jewellery,Gold Ring,1,214.41,214.41,Returning Customer
ORD-1305,2025-12-20,South East,Watches,Chronograph Watch,3,530.74,1592.22,VIP
ORD-1306,2025-12-21,Wales,Jewellery,Bracelet,1,144.18,144.18,New Customer
ORD-1307,2025-12-23,London,Watches,Smart Watch,2,474.96,949.92,Returning Customer
ORD-1308,2025-12-23,South East,Watches,Dive Watch,1,353.37,353.37,VIP
ORD-1309,2025-12-23,London,Custom Grillz,Silver Grillz,1,437.07,437.07,Returning Customer
ORD-1310,2025-12-23,South East,Jewellery,Pendant,2,130.49,260.98,New Customer
ORD-1311,2025-12-24,Scotland,Jewellery,Pendant,1,187.72,187.72,VIP
ORD-1312,2025-12-24,Wales,Watches,Dress Watch,1,207.7,207.7,VIP
ORD-1313,2025-12-24,South East,Accessories,Tie Clip,1,55.43,55.43,Returning Customer
ORD-1314,2025-12-25,South East,Watches,Chronograph Watch,2,277.24,554.48,New Customer
ORD-1315,2025-12-25,London,Watches,Chronograph Watch,5,525.55,2627.75,New Customer
ORD-1316,2025-12-26,South East,Accessories,Tie Clip,2,36.8,73.6,Returning Customer
ORD-1317,2025-12-28,London,Jewellery,Pendant,1,144.49,144.49,Returning Customer
ORD-1318,2025-12-28,London,Jewellery,Gold Ring,2,232.53,465.06,Returning Customer
ORD-1319,2025-12-29,London,Watches,Chronograph Watch,2,536.77,1073.54,VIP
